,Name,Country,revid,0,Population,article_quality
21657,Mike Verstraeten,Belgium,796774321,Stub,11211064,Stub
21658,Alfons Siffer,Belgium,797025612,Stub,11211064,Stub
21659,Augustin Dumon-Dumortier,Belgium,797213149,Start,11211064,Start
21660,Marleen Temmerman,Belgium,797688466,C,11211064,C
21661,"Gerald van de Werve, 5th Lord of Hovorst",Belgium,797709708,Stub,11211064,Stub
21662,Gaston van de Werve et de Schilde,Belgium,797709842,Start,11211064,Start
21663,André Jolly,Belgium,797721465,Stub,11211064,Stub
21664,Monique Willocq,Belgium,797938315,Stub,11211064,Stub
21665,Marcel Cheron,Belgium,797938318,Stub,11211064,Stub
21666,Paul Magnette,Belgium,797938391,Start,11211064,Start
21667,Jean-Claude Van Cauwenberghe,Belgium,797938401,Stub,11211064,Stub
21668,Melchior Wathelet,Belgium,797938482,Start,11211064,Start
21669,Jean Gol,Belgium,797938489,Start,11211064,Start
21670,Jean-Claude Marcourt,Belgium,797938853,Stub,11211064,Stub
21671,François Bellot,Belgium,797938932,Start,11211064,Start
21672,André Vlerick,Belgium,797967437,Start,11211064,Start
21673,Victor de Laveleye,Belgium,798359532,Start,11211064,Start
21674,Jean-Pierre Van Rossem,Belgium,798379997,C,11211064,C
21675,Johan Van Overtveldt,Belgium,798419935,Stub,11211064,Stub
21676,Daniel Ducarme,Belgium,798843975,Start,11211064,Start
21677,Danielle Godderis-T'Jonck,Belgium,798891964,Stub,11211064,Stub
21678,Monica De Coninck,Belgium,799028396,Start,11211064,Start
21679,Alfred Lecerf,Belgium,799196288,Stub,11211064,Stub
21680,Helga Stevens,Belgium,799213482,Start,11211064,Start
21681,Jacques van Ypersele de Strihou,Belgium,799356539,C,11211064,C
21682,Herman De Croo,Belgium,799470101,Start,11211064,Start
21683,Anne-Marie Lizin,Belgium,799470164,C,11211064,C
21684,Léonie Keingiaert de Gheluvelt,Belgium,799472850,Stub,11211064,Stub
21685,Émile Braun,Belgium,799472920,Stub,11211064,Stub
21686,Dirk Claes,Belgium,800023813,Stub,11211064,Stub
21687,Yvan Mayeur,Belgium,800434354,Stub,11211064,Stub
21688,Karolien Grosemans,Belgium,800717061,Stub,11211064,Stub
21689,"Philippe-Ambroise d'Olmen, Baron de Poederlé",Belgium,800738630,Stub,11211064,Stub
21690,Alfred Gadenne,Belgium,800779090,Stub,11211064,Stub
21691,François-Jean Wyns de Raucour,Belgium,800799504,Stub,11211064,Stub
21692,Bart Somers,Belgium,801007026,Start,11211064,Start
21693,Wilfried Martens,Belgium,801240827,C,11211064,C
21694,Father Samuel,Belgium,801241561,C,11211064,C
21695,Édouard André (consul),Belgium,801343044,Start,11211064,Start
21696,Elke Roex,Belgium,801438916,Stub,11211064,Stub
21697,Edmond Leburton,Belgium,801504067,Start,11211064,Start
21698,Julius Vuylsteke,Belgium,801608022,Start,11211064,Start
21699,Carine Russo,Belgium,801678719,Start,11211064,Start
21700,Herman Van Rompuy,Belgium,801693561,B,11211064,B
21701,Erland Pison,Belgium,801946281,Stub,11211064,Stub
21702,Tine Van Rompuy,Belgium,802166888,Stub,11211064,Stub
21703,Félix de Mérode,Belgium,802266201,Start,11211064,Start
21704,Laurette Onkelinx,Belgium,802654248,C,11211064,C
21705,Alfred Vanderstegen,Belgium,802902760,Stub,11211064,Stub
21706,Siegfried Bracke,Belgium,803140934,Stub,11211064,Stub
21707,Geert Bourgeois,Belgium,803190508,Start,11211064,Start
21708,"Eugène, 8th Prince of Ligne",Belgium,803445253,C,11211064,C
21709,Bertrand de Crombrugghe de Picquendaele,Belgium,803451151,Stub,11211064,Stub
21710,Francis van Aarssens,Belgium,803942872,Start,11211064,Start
21711,Albert Coppé,Belgium,804274911,Start,11211064,Start
21712,Auguste Couvreur,Belgium,804554579,Stub,11211064,Stub
21713,Rudi Vervoort,Belgium,804697981,Stub,11211064,Stub
21714,Joëlle Milquet,Belgium,804794826,Start,11211064,Start
21715,Johan Verstreken,Belgium,804818554,Stub,11211064,Stub
21716,Veerle Wouters,Belgium,804939318,Stub,11211064,Stub
21717,Gustave Rolin-Jaequemyns,Belgium,805121021,B,11211064,B
21718,Meryame Kitir,Belgium,805162873,Stub,11211064,Stub
